TxID,Date,GameTitle,Genre,Platform,PriceUSD,Country,Refunded,SupportTicketRaised
TX-200001,2025-06-07,Apex Circuit,Racing,PlayStation,59.99,FR,FALSE,TRUE
TX-200002,2025-12-17,Streetline Skate,Skateboarding,Xbox,39.99,AU,FALSE,FALSE
TX-200003,2026-04-12,Apex Circuit,Racing,Switch,59.99,FR,FALSE,FALSE
TX-200004,2024-08-05,Streetline Skate,Skateboarding,PlayStation,39.99,AU,FALSE,FALSE
TX-200005,2026-03-24,Apex Circuit,Racing,Switch,59.99,AU,FALSE,FALSE
TX-200006,2024-12-15,Apex Circuit,Racing,Xbox,59.99,JP,FALSE,FALSE
TX-200007,2025-10-03,Streetline Skate,Skateboarding,Xbox,39.99,US,FALSE,FALSE
TX-200008,2025-01-19,Highland Velocity,Racing,Xbox,59.99,CA,FALSE,FALSE
TX-200009,2025-01-24,Streetline Skate,Skateboarding,PC,39.99,US,FALSE,FALSE
TX-200010,2026-05-04,LifeSpace,Life Simulation,PC,49.99,FR,FALSE,FALSE
TX-200011,2024-09-15,Apex Circuit,Racing,PlayStation,59.99,JP,FALSE,TRUE
TX-200012,2025-03-16,LifeSpace,Life Simulation,PC,49.99,BR,FALSE,FALSE
TX-200013,2025-03-12,Apex Circuit,Racing,Switch,59.99,FR,FALSE,FALSE
TX-200014,2025-03-16,Highland Velocity,Racing,PC,59.99,CA,FALSE,TRUE
TX-200015,2025-02-19,Streetline Skate,Skateboarding,Xbox,39.99,CA,FALSE,FALSE
TX-200016,2025-10-04,Streetline Skate,Skateboarding,PlayStation,39.99,BR,FALSE,FALSE
TX-200017,2026-01-20,Apex Circuit,Racing,PlayStation,59.99,DE,FALSE,FALSE
TX-200018,2025-10-22,Streetline Skate,Skateboarding,PlayStation,39.99,JP,FALSE,FALSE
TX-200019,2025-08-02,Apex Circuit,Racing,PlayStation,59.99,UK,FALSE,FALSE
TX-200020,2024-11-07,LifeSpace,Life Simulation,PC,49.99,FR,FALSE,FALSE
TX-200021,2024-11-29,Highland Velocity,Racing,PC,59.99,JP,FALSE,FALSE
TX-200022,2024-10-15,Streetline Skate,Skateboarding,PlayStation,39.99,JP,FALSE,FALSE
TX-200023,2024-11-22,Streetline Skate,Skateboarding,Xbox,39.99,FR,FALSE,FALSE
TX-200024,2026-05-31,LifeSpace,Life Simulation,PC,49.99,JP,FALSE,FALSE
TX-200025,2025-06-28,Highland Velocity,Racing,PlayStation,59.99,FR,FALSE,TRUE
TX-200026,2025-10-17,Streetline Skate,Skateboarding,PC,39.99,AU,FALSE,FALSE
TX-200027,2025-08-15,LifeSpace,Life Simulation,PlayStation,49.99,UK,FALSE,TRUE
TX-200028,2026-03-01,Streetline Skate,Skateboarding,PC,39.99,FR,FALSE,FALSE
TX-200029,2026-05-21,Apex Circuit,Racing,PC,59.99,UK,FALSE,FALSE
TX-200030,2024-06-17,Highland Velocity,Racing,Xbox,59.99,DE,FALSE,FALSE
TX-200031,2026-01-21,Highland Velocity,Racing,Xbox,59.99,DE,FALSE,FALSE
TX-200032,2025-06-11,Apex Circuit,Racing,PlayStation,59.99,FR,FALSE,FALSE
TX-200033,2025-04-21,Apex Circuit,Racing,PlayStation,59.99,JP,FALSE,TRUE
TX-200034,2026-05-03,Streetline Skate,Skateboarding,PlayStation,39.99,US,FALSE,FALSE
TX-200035,2025-10-07,Apex Circuit,Racing,Xbox,59.99,DE,FALSE,FALSE
TX-200036,2026-01-23,Highland Velocity,Racing,Xbox,59.99,DE,FALSE,FALSE
TX-200037,2026-03-09,Streetline Skate,Skateboarding,PC,39.99,UK,FALSE,FALSE
TX-200038,2025-09-08,LifeSpace,Life Simulation,PC,49.99,DE,FALSE,FALSE
TX-200039,2024-06-28,Highland Velocity,Racing,PC,59.99,FR,FALSE,FALSE
TX-200040,2025-11-09,Apex Circuit,Racing,Xbox,59.99,US,FALSE,FALSE
TX-200041,2025-03-15,Streetline Skate,Skateboarding,PC,39.99,JP,FALSE,FALSE
